Country,jurisdiction,2014,2010,1990,1991,1992,1994,1995,1996,1999,2003,1988,1989,1993,1997,2000,2001,2002,2004,2009,2011,2007,2012,2005,2006,2008,1998,1972,1978,1984,1985,1986,1987,2015,2013,2016,1980,2017,1982,1983,1975,1981,1977,1957,1976,1979,1956,1918,1973,1967,1951,1952,1969,1974,1968,1971,1966,1970,1962,1945,1954,1955,1963,1964,1965,1936,1958,1959,1930,1961,Country_name
32,591,9.0,4.0,,2.0,,1.0,,2.0,1.0,14.0,,1.0,,3.0,2.0,7.0,,1.0,5.0,1.0,1.0,,2.0,3.0,1.0,,,,,,,,18.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina
32,690,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentina
533,660,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba
533,92,1.0,,,,,3.0,,1.0,,,,,1.0,2.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba
533,591,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aruba
36,44,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia
36,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia
36,92,2.0,7.0,,2.0,,1.0,5.0,,1.0,8.0,,,,,6.0,4.0,3.0,1.0,2.0,2.0,1.0,,2.0,2.0,3.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia
36,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia
36,570,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia
36,591,2.0,,2.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,3.0,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia
36,690,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australia
40,44,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria
40,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria
40,92,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria
40,591,1.0,1.0,,,,1.0,1.0,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria
31,44,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan
31,92,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan
44,44,11.0,11.0,,1.0,6.0,7.0,5.0,12.0,11.0,7.0,,,1.0,9.0,15.0,13.0,16.0,11.0,24.0,9.0,4.0,9.0,65.0,14.0,10.0,9.0,,,,,,,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,660,5.0,4.0,,,,,,,,,,,,,,,,,4.0,1.0,,2.0,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,92,106.0,60.0,1.0,2.0,,11.0,17.0,10.0,20.0,13.0,,,4.0,15.0,5.0,13.0,17.0,45.0,52.0,64.0,47.0,61.0,31.0,15.0,61.0,13.0,,,,,,,159.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,188,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,344,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,840,22.0,28.0,,,,,,,,,,,,,,,,2.0,19.0,26.0,12.0,22.0,4.0,9.0,13.0,,,,,,,,33.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,570,,,,,,,,,,6.0,,,,,,1.0,10.0,8.0,,,7.0,,2.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,591,123.0,137.0,3.0,3.0,1.0,5.0,1.0,2.0,1.0,9.0,,2.0,5.0,1.0,5.0,4.0,5.0,11.0,113.0,147.0,49.0,135.0,26.0,51.0,76.0,2.0,,,11.0,1.0,,,178.0,191.0,,1.0,,2.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,882,2.0,3.0,,,,,,,,,,,,,,,,,6.0,1.0,,4.0,,,3.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,690,5.0,12.0,,,,,,,,,,,,,,,1.0,1.0,12.0,9.0,8.0,5.0,3.0,,10.0,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,826,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,858,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
44,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas
Bahamas;Panama,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahamas;Panama
